name,parent,value
Crime,Cuba,14
Drama,Cuba,124
Fantasy,Cuba,8
Film-Noir,Cuba,2
History,Cuba,2
Horror,Cuba,9
Music,Cuba,7
Musical,Cuba,2
Romance,Cuba,24
Sci-Fi,Cuba,3
Thriller,Cuba,8
War,Cuba,10
Western,Cuba,5
Action,Cyprus,6
Adventure,Cyprus,3
Comedy,Cyprus,42
Crime,Cyprus,13
Drama,Cyprus,74
Fantasy,Cyprus,3
Music,Cyprus,2
Mystery,Cyprus,6
Romance,Cyprus,6
Thriller,Cyprus,14
War,Cyprus,2
Action,Czech Republic,113
Adventure,Czech Republic,115
Animation,Czech Republic,30
Biography,Czech Republic,68
Comedy,Czech Republic,340
Crime,Czech Republic,90
Drama,Czech Republic,577
Family,Czech Republic,78
Fantasy,Czech Republic,87
History,Czech Republic,79
Horror,Czech Republic,57
Music,Czech Republic,17
Musical,Czech Republic,9
Mystery,Czech Republic,48
Romance,Czech Republic,129
Sci-Fi,Czech Republic,18
Sport,Czech Republic,3
Thriller,Czech Republic,66
War,Czech Republic,66
Action,Czechoslovakia,1
Adventure,Czechoslovakia,39
Animation,Czechoslovakia,31
Biography,Czechoslovakia,9
Comedy,Czechoslovakia,199
Crime,Czechoslovakia,22
Drama,Czechoslovakia,165
Family,Czechoslovakia,70
Fantasy,Czechoslovakia,75
History,Czechoslovakia,28
Horror,Czechoslovakia,27
Music,Czechoslovakia,2
Musical,Czechoslovakia,16
Mystery,Czechoslovakia,12
Romance,Czechoslovakia,39
Sci-Fi,Czechoslovakia,21
Sport,Czechoslovakia,2
Thriller,Czechoslovakia,11
War,Czechoslovakia,38
Western,Czechoslovakia,2
Comedy,Côte d'Ivoire,4
Drama,Côte d'Ivoire,17
Thriller,Côte d'Ivoire,4
War,Côte d'Ivoire,4
Action,Denmark,163
Adult,Denmark,1
Adventure,Denmark,178
Animation,Denmark,165
Biography,Denmark,98
Comedy,Denmark,622
Crime,Denmark,255
Drama,Denmark,1371
Family,Denmark,258
Fantasy,Denmark,85
History,Denmark,91
Horror,Denmark,82
Music,Denmark,37
Musical,Denmark,30
Mystery,Denmark,99
Romance,Denmark,243
Sci-Fi,Denmark,57
Sport,Denmark,6
Thriller,Denmark,206
War,Denmark,60
